,index,dep,indice_de_gravite
0,13,3083,3.488973524726508
1,97,2543,3.405346360175709
2,69,1887,3.2757719001649312
3,59,1751,3.243286146083446
4,06,1732,3.2385478876813276
5,93,1633,3.212986184736668
6,83,1422,3.1528995963937474
7,34,1232,3.090610707828407
8,33,1189,3.0751818546186915
9,77,1148,3.059941888061955
10,38,1144,3.058426024457005
11,44,1063,3.0265332645232967
12,62,1061,3.025715383901341
13,76,1005,3.002166061756508
14,30,918,2.9628426812012423
15,31,892,2.950364854376123
16,29,840,2.9242792860618816
17,17,831,2.919601023784111
18,37,824,2.9159272116971158
19,78,798,2.9020028913507296
20,42,768,2.885361220031512
21,57,753,2.8767949762007006
22,60,748,2.8739015978644615
23,01,744,2.8715729355458786
24,91,742,2.870403905279027
25,64,735,2.8662873390841948
26,14,731,2.8639173769578603
27,74,725,2.8603380065709936
28,95,720,2.8573324964312685
29,49,719,2.8567288903828825
30,35,718,2.8561244442423
31,68,700,2.845098040014257
32,63,692,2.840106094456758
33,85,651,2.813580988568192
34,26,635,2.8027737252919755
35,71,629,2.798650645445269
36,20,603,2.780317312140151
37,45,601,2.7788744720027396
38,67,601,2.7788744720027396
39,50,598,2.776701183988411
40,22,585,2.7671558660821804
41,72,580,2.7634279935629373
42,80,580,2.7634279935629373
43,56,578,2.761927838420529
44,51,556,2.7450747915820575
45,27,552,2.741939077729199
46,94,540,2.7323937598229686
47,11,527,2.7218106152125467
48,25,513,2.7101173651118162
49,84,485,2.6857417386022635
50,28,473,2.6748611407378116
51,02,461,2.663700925389648
52,75,459,2.661812685537261
53,24,455,2.6580113966571126
54,41,452,2.655138434811382
55,21,446,2.649334858712142
56,66,443,2.6464037262230695
57,07,430,2.6334684555795866
58,61,422,2.625312450961674
59,54,419,2.622214022966295
60,79,416,2.6190933306267428
61,03,413,2.615950051656401
62,86,399,2.6009728956867484
63,73,399,2.6009728956867484
64,87,394,2.595496221825574
65,47,393,2.5943925503754266
66,89,393,2.5943925503754266
67,12,390,2.591064607026499
68,92,377,2.576341350205793
69,88,373,2.571708831808688
70,40,371,2.569373909615046
71,04,366,2.5634810853944106
72,81,348,2.5415792439465807
73,18,346,2.5390760987927767
74,82,330,2.5185139398778875
75,10,324,2.510545010206612
76,16,320,2.505149978319906
77,39,291,2.4638929889859074
78,58,287,2.4578818967339924
79,53,282,2.450249108319361
80,43,281,2.44870631990508
81,19,281,2.44870631990508
82,32,280,2.4471580313422194
83,70,243,2.385606273598312
84,05,232,2.3654879848909
85,09,220,2.342422680822206
86,08,220,2.342422680822206
87,65,214,2.330413773349191
88,36,211,2.3242824552976926
89,52,207,2.315970345456918
90,46,187,2.271841606536499
91,15,174,2.2405492482826
92,55,166,2.220108088040055
93,971,128,2.1072099696478683
94,48,122,2.0863598306747484
95,23,120,2.0791812460476247
96,90,110,2.041392685158225
97,988,108,2.03342375548695
98,973,108,2.03342375548695
99,2A,87,1.9395192526186185
100,972,72,1.8573324964312685
101,974,72,1.8573324964312685
102,2B,67,1.8260748027008264
103,987,56,1.7481880270062005
104,976,31,1.4913616938342726
105,978,14,1.146128035678238
106,977,7,0.8450980400142568
107,986,4,0.6020599913279624
108,975,2,0.3010299956639812
